"TAG";"Descrição";"Local";"Atividade";"Periodicidade";"Data base";"Criticidade";"Tipo";"HH"
"EQ-001";"Bomba centrífuga";"Unidade Norte";"Inspeção";"Mensal";"05/01/2026";"Alta";"Inspeção";"2"
"EQ-002";"Motor elétrico";"Unidade Sul";"Lubrificação";"Trimestral";"06/01/2026";"Média";"Preventiva";"4"
"EQ-003";"Painel de comando";"Unidade Leste";"Revisão";"Semanal";"07/01/2026";"Baixa";"Inspeção";"1.5"
"EQ-004";"Bomba centrífuga";"Unidade Norte";"Inspeção";"Semestral";"08/01/2026";"Alta";"Preventiva";"2"
"EQ-005";"Motor elétrico";"Unidade Sul";"Lubrificação";"Quinzenal";"09/01/2026";"Média";"Inspeção";"4"
"EQ-006";"Painel de comando";"Unidade Leste";"Revisão";"Anual";"10/01/2026";"Baixa";"Preventiva";"1.5"
"EQ-007";"Bomba centrífuga";"Unidade Norte";"Inspeção";"Mensal";"11/01/2026";"Alta";"Inspeção";"2"
"EQ-008";"Motor elétrico";"Unidade Sul";"Lubrificação";"Trimestral";"12/01/2026";"Média";"Preventiva";"4"
"EQ-009";"Painel de comando";"Unidade Leste";"Revisão";"Semanal";"13/01/2026";"Baixa";"Inspeção";"1.5"
"EQ-010";"Bomba centrífuga";"Unidade Norte";"Inspeção";"Semestral";"14/01/2026";"Alta";"Preventiva";"2"
"EQ-011";"Motor elétrico";"Unidade Sul";"Lubrificação";"Quinzenal";"15/01/2026";"Média";"Inspeção";"4"
"EQ-012";"Painel de comando";"Unidade Leste";"Revisão";"Anual";"16/01/2026";"Baixa";"Preventiva";"1.5"
